ResponseId,f_aff,f_ener,f_acc,f_ang,f_int,f_calm,f_app,f_cont,f_dis,f_qui,f_sad,f_emb,f_bor,f_anx,f_rela,f_fear,f_pea,f_sha,f_reli,f_gui,f_hap,f_pro,f_amu,f_joy,f_irr,f_fru,f_exc,f_conc,f_lon,i_aff,i_ener,i_acc,i_ang,i_int,i_calm,i_app,i_cont,i_dis,i_qui,i_sad,i_emb,i_bor,i_anx,i_rela,i_fear,i_pea,i_sha,i_reli,i_gui,i_hap,i_pro,i_amu,i_joy,i_irr,i_fru,i_exc,i_conc,i_lon,ftp1,ftp2,ftp3,ftp4,ftp5,ftp6,ftp7,ftp8,ftp9,ftp10,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,health,risk_self,risk_pop,risk_comp,age,gender_all,race_all,educ,income,emp,emp_affect,livealone,gender_bin_f,race_bin,emp_bin,FTP_av,FTP_Opp,FTP_Ext,FTP_Con,Openness,Conscientiousness,Extraversion,Agreeableness,Em_Stability,avg_f_pos,avg_f_neg,avg_i_pos,avg_i_neg
R_0vMLMOU4ruP0g49,1,1,1,0,2,3,1,2,1,2,3,0,3,1,3,0,2,NA,1,1,2,2,2,1,1,0,3,2,4,4,3,1,NA,1,3,3,2,1,3,4,NA,4,2,3,NA,3,0,1,1,2,2,1,1,2,NA,3,3,4,6,6,6,5,4,5,6,4,3,1,7,4,7,6,7,5,6,5,6,6,4,3,3,1,18,male,White or European-American,Graduated high school (or GED),"Less than $10,000",Not currently working for pay,0,No,Non-female,White,Not_working,4.6,6,5,4,6.5,6,6,5,6,1.8125,1.333333333,2.25,2.333333333
R_11gA1uoiRduLBKs,3,1,NA,0,NA,2,3,1,3,3,3,2,3,4,1,2,2,1,NA,3,NA,0,0,0,0,2,NA,3,4,3,1,0,NA,0,2,3,1,2,3,3,2,4,3,1,2,1,2,0,2,0,NA,NA,NA,NA,1,0,2,3,5,6,6,6,2,5,4,1,6,1,3,4,5,5,5,2,6,5,2,4,2,2,4,2,18,male,Asian or Asian-American,Graduated high school (or GED),"Less than $10,000",Not currently working for pay,0,No,Non-female,Non-white,Not_working,4.2,5,6,1,4.5,5,2.5,5,3.5,1.454545455,2.307692308,1.153846154,2.363636364
R_1gIa6XnB0r2SPs2,2,1,3,1,3,3,3,2,0,4,0,0,2,3,1,1,2,0,1,1,3,2,4,4,2,2,1,1,0,2,1,3,1,2,2,2,2,NA,1,NA,NA,2,2,1,2,1,NA,2,1,1,2,4,1,1,2,2,2,NA,7,7,6,7,7,7,6,3,6,6,2,7,6,2,7,1,7,5,5,6,2,1,1,2,18,male,White or European-American,Some college or technical school,"$220,000 to $250,000",Not currently working for pay,2,No,Non-female,White,Not_working,6.2,7,7,3,6.5,5.5,1.5,7,3.5,2.4375,1,1.8125,1.625
R_1mFd5H7qCxqP8kx,2,2,2,1,2,3,1,0,1,2,1,NA,4,2,3,0,4,1,1,1,2,2,3,3,2,1,3,2,4,2,2,2,2,2,3,2,NA,1,2,4,0,4,1,3,NA,2,1,1,2,3,2,2,2,1,3,2,3,4,6,7,7,7,5,6,7,7,7,7,6,1,6,4,7,6,7,7,5,1,3,2,4,2,18,male,White or European-American,Less than high school,Decline to answer,Not currently working for pay,3,No,Non-female,White,Not_working,6.6,6,7,7,4,6.5,6,4,4.5,2.1875,1.666666667,2.133333333,2.166666667
R_1SbQIPWt1qvqClz,2,2,2,1,3,3,2,3,NA,2,1,0,2,1,2,1,3,NA,1,0,3,1,3,3,1,1,2,2,1,2,1,3,1,3,2,1,3,0,3,1,NA,3,2,2,1,3,0,2,NA,3,1,2,3,1,1,2,2,2,7,7,7,7,6,7,7,6,7,5,3,3,6,7,3,2,6,5,7,3,5,3,2,1,18,male,more than one race,Graduated high school (or GED),"$20,000 to $30,000",Working for pay (part-time or full-time),0,No,Non-female,Non-white,Working,6.6,7,7,6,3,5.5,2.5,4.5,7,2.3125,1,2.25,1.272727273
R_25L8gUy9JvJtUqq,1,1,NA,2,2,2,2,1,NA,1,2,1,3,3,1,2,1,2,NA,NA,2,NA,2,2,2,2,1,2,3,1,1,0,1,1,2,2,1,0,1,2,1,4,2,1,2,1,2,0,0,2,0,2,1,3,1,1,2,4,4,4,5,5,3,3,3,5,3,3,3,3,6,3,4,3,3,3,3,4,3,2,3,2,18,female,Asian or Asian-American,Graduated high school (or GED),"$100,000 to $120,000",Not currently working for pay,0,No,Female,Non-white,Not_working,3.8,4,5,5,4,4.5,3,3,3,1.461538462,2.181818182,1.0625,1.846153846
R_2bID18a8LPbrpPf,1,2,1,0,3,4,2,3,1,2,1,0,2,1,3,0,3,0,2,0,3,1,4,3,1,1,2,1,4,1,3,3,NA,2,3,1,3,1,4,1,NA,2,1,4,NA,3,NA,2,NA,2,1,3,2,2,1,1,1,4,5,6,7,7,3,1,5,6,7,5,1,3,2,2,5,1,1,5,5,3,3,0,4,3,18,male,White or European-American,Graduated high school (or GED),"$80,000 to $100,000",Not currently working for pay,3,No,Non-female,White,Not_working,5.2,5,7,6,4,3.5,1,2,3.5,2.4375,0.923076923,2.375,1.625
R_2c273ey58skH6lx,1,2,0,2,1,0,NA,1,3,2,3,1,4,4,NA,3,1,3,NA,1,1,NA,0,0,2,3,1,3,1,1,2,NA,3,1,NA,0,1,2,1,3,1,4,3,0,3,1,2,0,2,1,0,NA,NA,3,4,1,4,1,5,7,7,6,5,3,6,5,5,6,6,5,5,2,5,5,6,5,4,6,3,3,4,2,18,male,Asian or Asian-American,Graduated high school (or GED),"$80,000 to $100,000",Working for pay (part-time or full-time),3,No,Non-female,Non-white,Working,5.5,5,6,5,5.5,5,5.5,5.5,3,0.833333333,2.538461538,0.75,2.692307692
R_3EZ2qgvwpcS5vaS,1,1,0,3,2,2,2,1,2,2,2,1,4,2,1,2,2,1,2,1,2,2,2,2,3,3,2,2,3,1,3,NA,4,3,2,2,1,2,3,3,2,1,2,2,1,3,2,3,2,1,2,2,1,2,3,2,3,2,4,6,4,4,4,4,2,3,5,6,6,5,5,4,2,7,6,4,5,3,4,2,4,2,18,male,Asian or Asian-American,Some college or technical school,"$30,000 to $40,000",Working for pay (part-time or full-time),1,No,Non-female,Non-white,Working,4.2,4,4,3,2.5,4.5,6.5,5.5,4.5,1.625,2.230769231,2.066666667,2.230769231
R_3HnQtbNDi1ZVTZ8,1,2,1,0,2,4,NA,NA,0,3,NA,0,1,1,4,NA,3,1,2,1,2,1,2,2,0,0,2,3,1,2,1,1,NA,2,3,0,0,NA,3,0,NA,2,1,3,0,2,1,2,2,2,1,2,3,NA,NA,2,3,1,3,6,4,6,7,5,6,1,1,1,1,2,5,5,4,1,6,6,6,5,4,1,3,1,18,male,Asian or Asian-American,Graduated high school (or GED),"$60,000 to $80,000",Not currently working for pay,2,No,Non-female,Non-white,Not_working,4,3,6,1,4.5,5.5,1,4,5.5,2.214285714,0.727272727,1.8125,1.25
